seed,w_L_init,w_C_init,w_S_init,w_L_frozen,w_C_frozen,w_S_frozen,w_S_increase_pct,L_L_epoch1,L_L_final,L_C_epoch1,L_C_final,L_S_epoch1,L_S_final,L_S_reduction_pct
42,0.45,0.4,0.15,0.3421,0.3371,0.3208,113.9,0.5595,0.1183,0.5278,0.0947,0.2713,0.0574,78.8
43,0.45,0.4,0.15,0.3415,0.3433,0.3152,110.1,0.6114,0.1199,0.4666,0.0944,0.2292,0.0576,74.9
44,0.45,0.4,0.15,0.3396,0.3423,0.3182,112.1,0.5972,0.117,0.4741,0.0942,0.2305,0.0567,75.4
45,0.45,0.4,0.15,0.3408,0.3365,0.3227,115.2,0.6371,0.1179,0.4673,0.0948,0.2516,0.0578,77.0
46,0.45,0.4,0.15,0.3434,0.3384,0.3182,112.1,0.5558,0.1194,0.4352,0.0946,0.2493,0.0585,76.5
Mean,0.45,0.4,0.15,0.3415,0.3395,0.319,112.7,0.5922,0.1185,0.4742,0.0945,0.2464,0.0576,76.5
