window,group_id,group_name,W_max_mbps,util_no_contention,util_with_contention,congestion_event,R_ij_degradation,lat_no_ms,lat_with_ms,viol_no,viol_with,q_net_no,q_net_with
14,2,Cross-Region WAN,500.0,0.7559,0.7559,0,1.0,2120.3,2120.3,0.1746,0.1746,0.444,0.444
15,0,Region-A Backhaul,400.0,0.6488,0.6488,0,1.0,2093.3,2093.3,0.1986,0.1986,0.49,0.49
15,1,Cloud Egress,300.0,0.9502,0.9502,0,1.0,2093.3,2093.3,0.1986,0.1986,0.49,0.49
15,2,Cross-Region WAN,500.0,0.8439,0.8439,0,1.0,2093.3,2093.3,0.1986,0.1986,0.49,0.49
16,0,Region-A Backhaul,400.0,0.5803,0.5803,0,1.0,2150.8,2153.2,0.194,0.1967,0.426,0.447
16,1,Cloud Egress,300.0,1.006,1.0,1,0.994,2150.8,2153.2,0.194,0.1967,0.426,0.447
16,2,Cross-Region WAN,500.0,0.5703,0.5703,0,1.0,2150.8,2153.2,0.194,0.1967,0.426,0.447
17,0,Region-A Backhaul,400.0,0.7395,0.7395,0,1.0,2114.9,2114.9,0.1674,0.1674,0.437,0.437
17,1,Cloud Egress,300.0,0.9666,0.9666,0,1.0,2114.9,2114.9,0.1674,0.1674,0.437,0.437
17,2,Cross-Region WAN,500.0,0.5923,0.5923,0,1.0,2114.9,2114.9,0.1674,0.1674,0.437,0.437
18,0,Region-A Backhaul,400.0,0.6073,0.6073,0,1.0,2141.5,2238.9,0.1868,0.2964,0.465,1.318
18,1,Cloud Egress,300.0,1.2435,1.0,1,0.8042,2141.5,2238.9,0.1868,0.2964,0.465,1.318
18,2,Cross-Region WAN,500.0,0.5131,0.5131,0,1.0,2141.5,2238.9,0.1868,0.2964,0.465,1.318
19,0,Region-A Backhaul,400.0,0.5745,0.5745,0,1.0,2113.7,2199.3,0.1985,0.2948,0.447,1.196
19,1,Cloud Egress,300.0,1.214,1.0,1,0.8237,2113.7,2199.3,0.1985,0.2948,0.447,1.196
19,2,Cross-Region WAN,500.0,0.5592,0.5592,0,1.0,2113.7,2199.3,0.1985,0.2948,0.447,1.196
20,0,Region-A Backhaul,400.0,0.9586,0.9586,0,1.0,2163.5,2239.4,0.155,0.2403,0.647,1.311
20,1,Cloud Egress,300.0,1.1896,1.0,1,0.8406,2163.5,2239.4,0.155,0.2403,0.647,1.311
20,2,Cross-Region WAN,500.0,0.8511,0.8511,0,1.0,2163.5,2239.4,0.155,0.2403,0.647,1.311
21,0,Region-A Backhaul,400.0,0.8022,0.8022,0,1.0,2155.9,2155.9,0.1948,0.1948,0.405,0.405
21,1,Cloud Egress,300.0,0.9584,0.9584,0,1.0,2155.9,2155.9,0.1948,0.1948,0.405,0.405
21,2,Cross-Region WAN,500.0,0.2586,0.2586,0,1.0,2155.9,2155.9,0.1948,0.1948,0.405,0.405
22,0,Region-A Backhaul,400.0,0.8881,0.8881,0,1.0,2105.8,2148.2,0.1731,0.2208,0.508,0.879
22,1,Cloud Egress,300.0,1.106,1.0,1,0.9041,2105.8,2148.2,0.1731,0.2208,0.508,0.879
22,2,Cross-Region WAN,500.0,0.6231,0.6231,0,1.0,2105.8,2148.2,0.1731,0.2208,0.508,0.879
23,0,Region-A Backhaul,400.0,0.7597,0.7597,0,1.0,2136.3,2136.3,0.1953,0.1953,0.405,0.405
23,1,Cloud Egress,300.0,0.7341,0.7341,0,1.0,2136.3,2136.3,0.1953,0.1953,0.405,0.405
23,2,Cross-Region WAN,500.0,0.3219,0.3219,0,1.0,2136.3,2136.3,0.1953,0.1953,0.405,0.405
24,0,Region-A Backhaul,400.0,0.912,0.912,0,1.0,2128.1,2128.1,0.1713,0.1713,0.427,0.427
24,1,Cloud Egress,300.0,0.8494,0.8494,0,1.0,2128.1,2128.1,0.1713,0.1713,0.427,0.427
24,2,Cross-Region WAN,500.0,0.515,0.515,0,1.0,2128.1,2128.1,0.1713,0.1713,0.427,0.427
25,0,Region-A Backhaul,400.0,1.0293,1.0,1,0.9715,2146.2,2158.0,0.1525,0.1657,0.555,0.658
25,1,Cloud Egress,300.0,0.9485,0.9485,0,1.0,2146.2,2158.0,0.1525,0.1657,0.555,0.658
25,2,Cross-Region WAN,500.0,0.7779,0.7779,0,1.0,2146.2,2158.0,0.1525,0.1657,0.555,0.658
26,0,Region-A Backhaul,400.0,0.9056,0.9056,0,1.0,2087.9,2087.9,0.1557,0.1557,0.488,0.488
26,1,Cloud Egress,300.0,0.6022,0.6022,0,1.0,2087.9,2087.9,0.1557,0.1557,0.488,0.488
26,2,Cross-Region WAN,500.0,0.6875,0.6875,0,1.0,2087.9,2087.9,0.1557,0.1557,0.488,0.488
27,0,Region-A Backhaul,400.0,1.1033,1.0,1,0.9064,2129.2,2170.5,0.1859,0.2323,0.534,0.895
27,1,Cloud Egress,300.0,0.6541,0.6541,0,1.0,2129.2,2170.5,0.1859,0.2323,0.534,0.895
27,2,Cross-Region WAN,500.0,0.5868,0.5868,0,1.0,2129.2,2170.5,0.1859,0.2323,0.534,0.895
28,0,Region-A Backhaul,400.0,0.9861,0.9861,0,1.0,2138.5,2138.5,0.1897,0.1897,0.534,0.534
28,1,Cloud Egress,300.0,0.7665,0.7665,0,1.0,2138.5,2138.5,0.1897,0.1897,0.534,0.534
28,2,Cross-Region WAN,500.0,0.6999,0.6999,0,1.0,2138.5,2138.5,0.1897,0.1897,0.534,0.534
29,0,Region-A Backhaul,400.0,1.0087,1.0,1,0.9913,2068.0,2071.5,0.1687,0.1727,0.628,0.658
29,1,Cloud Egress,300.0,0.7802,0.7802,0,1.0,2068.0,2071.5,0.1687,0.1727,0.628,0.658
29,2,Cross-Region WAN,500.0,0.9574,0.9574,0,1.0,2068.0,2071.5,0.1687,0.1727,0.628,0.658
30,0,Region-A Backhaul,400.0,0.9438,0.9438,0,1.0,2082.4,2082.4,0.1965,0.1965,0.535,0.535
30,1,Cloud Egress,300.0,0.7649,0.7649,0,1.0,2082.4,2082.4,0.1965,0.1965,0.535,0.535
30,2,Cross-Region WAN,500.0,0.8192,0.8192,0,1.0,2082.4,2082.4,0.1965,0.1965,0.535,0.535
31,0,Region-A Backhaul,400.0,1.1996,1.0,1,0.8336,2061.0,2149.3,0.1551,0.2545,0.728,1.501
31,1,Cloud Egress,300.0,1.0163,1.0,1,0.9839,2061.0,2149.3,0.1551,0.2545,0.728,1.501
31,2,Cross-Region WAN,500.0,1.0049,1.0,1,0.9951,2061.0,2149.3,0.1551,0.2545,0.728,1.501
32,0,Region-A Backhaul,400.0,0.9291,0.9291,0,1.0,2105.3,2115.4,0.1838,0.1952,0.648,0.736
32,1,Cloud Egress,300.0,0.9773,0.9773,0,1.0,2105.3,2115.4,0.1838,0.1952,0.648,0.736
32,2,Cross-Region WAN,500.0,1.0253,1.0,1,0.9753,2105.3,2115.4,0.1838,0.1952,0.648,0.736
33,0,Region-A Backhaul,400.0,0.7531,0.7531,0,1.0,2129.9,2200.6,0.1632,0.2427,0.591,1.209
33,1,Cloud Egress,300.0,1.1766,1.0,1,0.8499,2129.9,2200.6,0.1632,0.2427,0.591,1.209
33,2,Cross-Region WAN,500.0,0.961,0.961,0,1.0,2129.9,2200.6,0.1632,0.2427,0.591,1.209
34,0,Region-A Backhaul,400.0,0.928,0.928,0,1.0,2149.6,2317.6,0.1733,0.3623,0.852,2.322
34,1,Cloud Egress,300.0,1.0469,1.0,1,0.9552,2149.6,2317.6,0.1733,0.3623,0.852,2.322
34,2,Cross-Region WAN,500.0,1.3731,1.0,1,0.7283,2149.6,2317.6,0.1733,0.3623,0.852,2.322
35,0,Region-A Backhaul,400.0,0.6362,0.6362,0,1.0,2113.9,2287.6,0.1859,0.3813,0.681,2.201
