window,group_id,group_name,W_max_mbps,util_no_contention,util_with_contention,congestion_event,R_ij_degradation,lat_no_ms,lat_with_ms,viol_no,viol_with,q_net_no,q_net_with
73,0,Region-A Backhaul,400.0,1.2315,1.0,1,0.812,2146.2,2238.8,0.1811,0.2852,0.632,1.442
73,1,Cloud Egress,300.0,0.7906,0.7906,0,1.0,2146.2,2238.8,0.1811,0.2852,0.632,1.442
73,2,Cross-Region WAN,500.0,0.6269,0.6269,0,1.0,2146.2,2238.8,0.1811,0.2852,0.632,1.442
74,0,Region-A Backhaul,400.0,0.7017,0.7017,0,1.0,2153.1,2153.1,0.1999,0.1999,0.441,0.441
74,1,Cloud Egress,300.0,0.8582,0.8582,0,1.0,2153.1,2153.1,0.1999,0.1999,0.441,0.441
74,2,Cross-Region WAN,500.0,0.4437,0.4437,0,1.0,2153.1,2153.1,0.1999,0.1999,0.441,0.441
75,0,Region-A Backhaul,400.0,1.0759,1.0,1,0.9294,2105.8,2137.2,0.1452,0.1806,0.552,0.827
75,1,Cloud Egress,300.0,1.0027,1.0,1,0.9973,2105.8,2137.2,0.1452,0.1806,0.552,0.827
75,2,Cross-Region WAN,500.0,0.6124,0.6124,0,1.0,2105.8,2137.2,0.1452,0.1806,0.552,0.827
76,0,Region-A Backhaul,400.0,0.9412,0.9412,0,1.0,2126.4,2130.7,0.1892,0.1941,0.537,0.575
76,1,Cloud Egress,300.0,1.0108,1.0,1,0.9893,2126.4,2130.7,0.1892,0.1941,0.537,0.575
76,2,Cross-Region WAN,500.0,0.5549,0.5549,0,1.0,2126.4,2130.7,0.1892,0.1941,0.537,0.575
77,0,Region-A Backhaul,400.0,0.8441,0.8441,0,1.0,2119.8,2211.3,0.1989,0.3019,0.508,1.309
77,1,Cloud Egress,300.0,1.2288,1.0,1,0.8138,2119.8,2211.3,0.1989,0.3019,0.508,1.309
77,2,Cross-Region WAN,500.0,0.436,0.436,0,1.0,2119.8,2211.3,0.1989,0.3019,0.508,1.309
78,0,Region-A Backhaul,400.0,0.8403,0.8403,0,1.0,2189.0,2230.1,0.1584,0.2046,0.56,0.919
78,1,Cloud Egress,300.0,1.1028,1.0,1,0.9068,2189.0,2230.1,0.1584,0.2046,0.56,0.919
78,2,Cross-Region WAN,500.0,0.5368,0.5368,0,1.0,2189.0,2230.1,0.1584,0.2046,0.56,0.919
79,0,Region-A Backhaul,400.0,0.5442,0.5442,0,1.0,2140.0,2304.3,0.2056,0.3905,0.457,1.895
79,1,Cloud Egress,300.0,1.4108,1.0,1,0.7088,2140.0,2304.3,0.2056,0.3905,0.457,1.895
79,2,Cross-Region WAN,500.0,0.4938,0.4938,0,1.0,2140.0,2304.3,0.2056,0.3905,0.457,1.895
80,0,Region-A Backhaul,400.0,0.7176,0.7176,0,1.0,2108.8,2178.0,0.1911,0.269,0.464,1.07
80,1,Cloud Egress,300.0,1.1731,1.0,1,0.8524,2108.8,2178.0,0.1911,0.269,0.464,1.07
80,2,Cross-Region WAN,500.0,0.597,0.597,0,1.0,2108.8,2178.0,0.1911,0.269,0.464,1.07
81,0,Region-A Backhaul,400.0,0.7591,0.7591,0,1.0,2088.1,2088.1,0.1775,0.1775,0.467,0.467
81,1,Cloud Egress,300.0,0.9636,0.9636,0,1.0,2088.1,2088.1,0.1775,0.1775,0.467,0.467
81,2,Cross-Region WAN,500.0,0.7181,0.7181,0,1.0,2088.1,2088.1,0.1775,0.1775,0.467,0.467
82,0,Region-A Backhaul,400.0,0.8792,0.8792,0,1.0,2071.8,2071.8,0.1964,0.1964,0.495,0.495
82,1,Cloud Egress,300.0,0.8587,0.8587,0,1.0,2071.8,2071.8,0.1964,0.1964,0.495,0.495
82,2,Cross-Region WAN,500.0,0.9006,0.9006,0,1.0,2071.8,2071.8,0.1964,0.1964,0.495,0.495
83,0,Region-A Backhaul,400.0,0.6396,0.6396,0,1.0,2117.1,2117.1,0.2259,0.2259,0.385,0.385
83,1,Cloud Egress,300.0,0.9225,0.9225,0,1.0,2117.1,2117.1,0.2259,0.2259,0.385,0.385
83,2,Cross-Region WAN,500.0,0.5644,0.5644,0,1.0,2117.1,2117.1,0.2259,0.2259,0.385,0.385
84,0,Region-A Backhaul,400.0,0.6192,0.6192,0,1.0,2093.1,2132.5,0.1883,0.2327,0.515,0.86
84,1,Cloud Egress,300.0,0.7683,0.7683,0,1.0,2093.1,2132.5,0.1883,0.2327,0.515,0.86
84,2,Cross-Region WAN,500.0,1.0986,1.0,1,0.9102,2093.1,2132.5,0.1883,0.2327,0.515,0.86
85,0,Region-A Backhaul,400.0,0.6838,0.6838,0,1.0,2076.4,2076.4,0.1895,0.1895,0.399,0.399
85,1,Cloud Egress,300.0,0.8009,0.8009,0,1.0,2076.4,2076.4,0.1895,0.1895,0.399,0.399
85,2,Cross-Region WAN,500.0,0.589,0.589,0,1.0,2076.4,2076.4,0.1895,0.1895,0.399,0.399
86,0,Region-A Backhaul,400.0,0.8925,0.8925,0,1.0,2095.8,2095.8,0.1767,0.1767,0.551,0.551
86,1,Cloud Egress,300.0,0.7485,0.7485,0,1.0,2095.8,2095.8,0.1767,0.1767,0.551,0.551
86,2,Cross-Region WAN,500.0,0.9002,0.9002,0,1.0,2095.8,2095.8,0.1767,0.1767,0.551,0.551
87,0,Region-A Backhaul,400.0,0.8687,0.8687,0,1.0,2085.0,2107.7,0.1697,0.1953,0.639,0.838
87,1,Cloud Egress,300.0,0.7035,0.7035,0,1.0,2085.0,2107.7,0.1697,0.1953,0.639,0.838
87,2,Cross-Region WAN,500.0,1.0569,1.0,1,0.9461,2085.0,2107.7,0.1697,0.1953,0.639,0.838
88,0,Region-A Backhaul,400.0,0.8164,0.8164,0,1.0,2154.2,2177.5,0.1999,0.2262,0.589,0.793
88,1,Cloud Egress,300.0,0.6718,0.6718,0,1.0,2154.2,2177.5,0.1999,0.2262,0.589,0.793
88,2,Cross-Region WAN,500.0,1.0583,1.0,1,0.945,2154.2,2177.5,0.1999,0.2262,0.589,0.793
89,0,Region-A Backhaul,400.0,0.9923,0.9923,0,1.0,2134.0,2134.0,0.1696,0.1696,0.569,0.569
89,1,Cloud Egress,300.0,0.679,0.679,0,1.0,2134.0,2134.0,0.1696,0.1696,0.569,0.569
89,2,Cross-Region WAN,500.0,0.9651,0.9651,0,1.0,2134.0,2134.0,0.1696,0.1696,0.569,0.569
90,0,Region-A Backhaul,400.0,0.989,0.989,0,1.0,2111.8,2129.3,0.1863,0.206,0.626,0.779
90,1,Cloud Egress,300.0,0.8753,0.8753,0,1.0,2111.8,2129.3,0.1863,0.206,0.626,0.779
90,2,Cross-Region WAN,500.0,1.0438,1.0,1,0.958,2111.8,2129.3,0.1863,0.206,0.626,0.779
91,0,Region-A Backhaul,400.0,1.1323,1.0,1,0.8832,2149.0,2244.3,0.1764,0.2837,0.761,1.595
91,1,Cloud Egress,300.0,1.0951,1.0,1,0.9131,2149.0,2244.3,0.1764,0.2837,0.761,1.595
91,2,Cross-Region WAN,500.0,1.011,1.0,1,0.9891,2149.0,2244.3,0.1764,0.2837,0.761,1.595
92,0,Region-A Backhaul,400.0,0.9595,0.9595,0,1.0,2113.9,2155.9,0.1936,0.2408,0.633,1.0
92,1,Cloud Egress,300.0,1.1049,1.0,1,0.9051,2113.9,2155.9,0.1936,0.2408,0.633,1.0
92,2,Cross-Region WAN,500.0,0.9905,0.9905,0,1.0,2113.9,2155.9,0.1936,0.2408,0.633,1.0
93,0,Region-A Backhaul,400.0,1.0188,1.0,1,0.9815,2090.5,2168.4,0.191,0.2786,0.8,1.482
93,1,Cloud Egress,300.0,1.0047,1.0,1,0.9954,2090.5,2168.4,0.191,0.2786,0.8,1.482
93,2,Cross-Region WAN,500.0,1.1712,1.0,1,0.8538,2090.5,2168.4,0.191,0.2786,0.8,1.482
94,0,Region-A Backhaul,400.0,1.0111,1.0,1,0.989,2150.1,2244.5,0.2037,0.3099,0.77,1.596
94,1,Cloud Egress,300.0,1.1561,1.0,1,0.865,2150.1,2244.5,0.2037,0.3099,0.77,1.596
94,2,Cross-Region WAN,500.0,1.0689,1.0,1,0.9355,2150.1,2244.5,0.2037,0.3099,0.77,1.596
95,0,Region-A Backhaul,400.0,0.8681,0.8681,0,1.0,2125.5,2185.1,0.1758,0.2429,0.598,1.119
95,1,Cloud Egress,300.0,1.1491,1.0,1,0.8703,2125.5,2185.1,0.1758,0.2429,0.598,1.119
95,2,Cross-Region WAN,500.0,0.8776,0.8776,0,1.0,2125.5,2185.1,0.1758,0.2429,0.598,1.119
96,0,Region-A Backhaul,400.0,1.0516,1.0,1,0.951,2086.1,2125.7,0.1801,0.2247,0.645,0.991
96,1,Cloud Egress,300.0,0.9609,0.9609,0,1.0,2086.1,2125.7,0.1801,0.2247,0.645,0.991
96,2,Cross-Region WAN,500.0,1.0474,1.0,1,0.9547,2086.1,2125.7,0.1801,0.2247,0.645,0.991
97,0,Region-A Backhaul,400.0,1.0086,1.0,1,0.9914,2107.2,2110.7,0.1674,0.1713,0.672,0.703
97,1,Cloud Egress,300.0,0.9811,0.9811,0,1.0,2107.2,2110.7,0.1674,0.1713,0.672,0.703
97,2,Cross-Region WAN,500.0,0.9053,0.9053,0,1.0,2107.2,2110.7,0.1674,0.1713,0.672,0.703
98,0,Region-A Backhaul,400.0,0.9313,0.9313,0,1.0,2090.1,2090.1,0.177,0.177,0.582,0.582
98,1,Cloud Egress,300.0,0.8801,0.8801,0,1.0,2090.1,2090.1,0.177,0.177,0.582,0.582
98,2,Cross-Region WAN,500.0,0.9138,0.9138,0,1.0,2090.1,2090.1,0.177,0.177,0.582,0.582
99,0,Region-A Backhaul,400.0,0.8518,0.8518,0,1.0,2077.4,2077.4,0.1918,0.1918,0.527,0.527
99,1,Cloud Egress,300.0,0.6764,0.6764,0,1.0,2077.4,2077.4,0.1918,0.1918,0.527,0.527
99,2,Cross-Region WAN,500.0,0.8258,0.8258,0,1.0,2077.4,2077.4,0.1918,0.1918,0.527,0.527
