window,p_rel_none,p_rel_ind,p_rel_burst,failure_state_burst,lat_none_ms,lat_ind_ms,lat_burst_ms,risk_none,risk_ind,risk_burst,sla_viol_none,sla_viol_ind,sla_viol_burst
87,1.0,0.6074,0.9538,0,2130.6,1948.6,2220.1,0.0,0.3926,0.0462,0.0,0.0,0.0
88,1.0,0.9726,0.9454,0,2019.8,2142.8,2123.2,0.0,0.0274,0.0546,0.0,0.0,0.0
89,1.0,0.9875,0.9408,0,2124.7,2185.9,2178.1,0.0,0.0125,0.0592,0.0,0.0,0.0
90,1.0,0.9558,0.9486,0,1982.1,2033.5,2094.3,0.0,0.0442,0.0514,0.0,0.0,0.0
91,1.0,0.9824,0.9521,0,2077.7,2167.8,2195.1,0.0,0.0176,0.0479,0.0,0.0,0.0
92,1.0,0.9514,0.9419,0,2201.3,2038.8,2024.5,0.0,0.0486,0.0581,0.0,0.0,0.0
93,1.0,0.9858,0.9294,0,2067.5,2082.3,2155.4,0.0,0.0142,0.0706,0.0,0.0,0.0
94,1.0,0.9389,0.9194,0,2162.0,2064.7,2142.8,0.0,0.0611,0.0806,0.0,0.0,0.0
95,1.0,0.9864,0.9123,0,2186.2,2141.6,2127.3,0.0,0.0136,0.0877,0.0,0.0,0.0
96,1.0,0.98,0.9092,0,2082.0,2062.6,2263.3,0.0,0.02,0.0908,0.0,0.0,0.0
97,1.0,0.9808,0.9269,0,2059.8,2255.0,2037.2,0.0,0.0192,0.0731,0.0,0.0,0.0
98,1.0,0.9374,0.935,0,2106.0,2174.9,2086.7,0.0,0.0626,0.065,0.0,0.0,0.0
99,1.0,0.9658,0.9344,0,2167.9,2227.1,2114.3,0.0,0.0342,0.0656,0.0,0.0,0.0
100,1.0,0.931,0.9358,0,2099.7,2082.1,2045.5,0.0,0.069,0.0642,0.0,0.0,0.0
101,1.0,0.9733,0.9315,0,2115.1,2175.8,2098.3,0.0,0.0267,0.0685,0.0,0.0,0.0
102,1.0,0.9305,0.937,0,2268.7,2080.9,2141.8,0.0,0.0695,0.063,0.0,0.0,0.0
103,1.0,0.9351,0.6693,0,2126.9,2275.3,1939.3,0.0,0.0649,0.3307,0.0,0.0,0.0
104,1.0,0.9435,0.4036,1,2154.2,2121.2,4034.0,0.0,0.0565,0.5964,0.0,0.0,1.0
105,1.0,0.9825,0.3994,1,2099.5,2028.0,3811.5,0.0,0.0175,0.6006,0.0,0.0,1.0
106,1.0,0.9518,0.6625,0,2143.5,2075.6,2036.3,0.0,0.0482,0.3375,0.0,0.0,0.0
107,1.0,0.9624,0.9471,0,2139.9,2291.6,2059.5,0.0,0.0376,0.0529,0.0,0.0,0.0
108,1.0,0.9641,0.9619,0,2189.4,2188.8,2155.5,0.0,0.0359,0.0381,0.0,0.0,0.0
109,1.0,0.9435,0.9656,0,2119.2,2149.5,2049.1,0.0,0.0565,0.0344,0.0,0.0,0.0
110,1.0,0.9643,0.9472,0,2066.7,2097.2,2260.4,0.0,0.0357,0.0528,0.0,0.0,0.0
111,1.0,0.9697,0.9473,0,2047.5,2168.0,2147.3,0.0,0.0303,0.0527,0.0,0.0,0.0
112,1.0,0.9479,0.9431,0,2116.5,1963.8,2051.7,0.0,0.0521,0.0569,0.0,0.0,0.0
113,1.0,0.9551,0.9489,0,2086.2,1991.8,1985.6,0.0,0.0449,0.0511,0.0,0.0,0.0
114,1.0,0.9572,0.9541,0,2131.8,2070.0,2087.6,0.0,0.0428,0.0459,0.0,0.0,0.0
115,1.0,0.9859,0.954,0,2184.2,2095.8,2168.9,0.0,0.0141,0.046,0.0,0.0,0.0
116,1.0,0.9652,0.9656,0,2130.8,2180.9,2111.6,0.0,0.0348,0.0344,0.0,0.0,0.0
117,1.0,0.9869,0.9625,0,2071.2,2038.4,2080.1,0.0,0.0131,0.0375,0.0,0.0,0.0
118,1.0,0.6295,0.9578,0,2036.8,2150.5,2097.0,0.0,0.3705,0.0422,0.0,0.0,0.0
119,1.0,0.96,0.6869,0,2151.7,2043.5,2107.2,0.0,0.04,0.3131,0.0,0.0,0.0
120,1.0,0.9302,0.4361,1,1985.8,2088.0,3660.6,0.0,0.0698,0.5639,0.0,0.0,1.0
121,1.0,0.9589,0.1742,1,2040.5,2249.4,5042.1,0.0,0.0411,0.8258,0.0,0.0,1.0
122,1.0,0.9856,0.1566,1,2145.2,2140.3,4812.8,0.0,0.0144,0.8434,0.0,0.0,1.0
123,1.0,0.9419,0.3986,1,2117.3,2062.8,3770.6,0.0,0.0581,0.6014,0.0,0.0,1.0
124,1.0,0.9331,0.6508,0,2182.3,2093.6,1952.3,0.0,0.0669,0.3492,0.0,0.0,0.0
125,1.0,0.9544,0.9187,0,2166.5,2168.9,2152.9,0.0,0.0456,0.0813,0.0,0.0,0.0
126,1.0,0.9523,0.9194,0,2065.3,2176.2,2191.5,0.0,0.0477,0.0806,0.0,0.0,0.0
127,1.0,0.9814,0.9162,0,2175.7,2180.6,2130.5,0.0,0.0186,0.0838,0.0,0.0,0.0
128,1.0,0.9316,0.9394,0,2051.9,2187.7,2105.6,0.0,0.0684,0.0606,0.0,0.0,0.0
129,1.0,0.9852,0.9375,0,2049.4,2152.4,2109.1,0.0,0.0148,0.0625,0.0,0.0,0.0
130,1.0,0.9709,0.9466,0,2061.0,1981.6,2109.2,0.0,0.0291,0.0534,0.0,0.0,0.0
131,1.0,0.9843,0.9216,0,2061.8,2161.9,2092.2,0.0,0.0157,0.0784,0.0,0.0,0.0
132,1.0,0.9665,0.9229,0,2127.9,2170.3,2111.0,0.0,0.0335,0.0771,0.0,0.0,0.0
133,1.0,0.9787,0.9132,0,2201.3,2044.1,2103.1,0.0,0.0213,0.0868,0.0,0.0,0.0
134,1.0,0.9501,0.9126,0,2096.5,1996.1,2177.7,0.0,0.0499,0.0874,0.0,0.0,0.0
135,1.0,0.951,0.9103,0,1995.3,1950.5,2207.2,0.0,0.049,0.0897,0.0,0.0,0.0
136,1.0,0.9534,0.9317,0,2136.5,2075.1,2162.2,0.0,0.0466,0.0683,0.0,0.0,0.0
137,1.0,0.9753,0.9432,0,2083.2,2160.6,2235.2,0.0,0.0247,0.0568,0.0,0.0,0.0
138,1.0,0.9522,0.9345,0,2126.2,2215.2,2193.2,0.0,0.0478,0.0655,0.0,0.0,0.0
139,1.0,0.9445,0.917,0,2047.3,2120.9,2236.9,0.0,0.0555,0.083,0.0,0.0,0.0
140,1.0,0.9863,0.9245,0,2146.0,2133.1,2166.1,0.0,0.0137,0.0755,0.0,0.0,0.0
141,1.0,0.9845,0.9438,0,2125.3,2031.1,2126.9,0.0,0.0155,0.0562,0.0,0.0,0.0
142,1.0,0.9509,0.9595,0,2100.0,2150.8,2243.9,0.0,0.0491,0.0405,0.0,0.0,0.0
143,1.0,0.9681,0.9492,0,2020.0,2161.4,2050.1,0.0,0.0319,0.0508,0.0,0.0,0.0
144,1.0,0.9464,0.9389,0,2034.4,2032.6,2242.1,0.0,0.0536,0.0611,0.0,0.0,0.0
145,1.0,0.9424,0.9402,0,2120.6,2163.4,2105.9,0.0,0.0576,0.0598,0.0,0.0,0.0
146,1.0,0.9502,0.9414,0,2167.5,2231.1,2220.1,0.0,0.0498,0.0586,0.0,0.0,0.0
147,1.0,0.5577,0.9514,0,2259.8,2136.7,2149.2,0.0,0.4423,0.0486,0.0,0.0,0.0
148,1.0,0.9829,0.9455,0,2030.5,2247.3,2063.0,0.0,0.0171,0.0545,0.0,0.0,0.0
149,1.0,0.9793,0.9446,0,1969.8,2059.1,2080.7,0.0,0.0207,0.0554,0.0,0.0,0.0
150,1.0,0.9726,0.9273,0,2066.9,1958.9,2276.9,0.0,0.0274,0.0727,0.0,0.0,0.0
151,1.0,0.9876,0.9149,0,2205.1,2149.5,2083.2,0.0,0.0124,0.0851,0.0,0.0,0.0
152,1.0,0.9554,0.929,0,2080.0,2191.6,2244.6,0.0,0.0446,0.071,0.0,0.0,0.0
